sample	state_baseline	label_baseline	state_sensitivity	label_sensitivity	exact_state_label_match
LV3003046936	3	IG-A	2	G-A	FALSE
LV3003046937	3	IG-A	4	IG-A	FALSE
LV3003046938	5	IG-C	1	IG-D	FALSE
LV3003046939	5	IG-C	1	IG-D	FALSE
LV3003046949	3	IG-A	2	G-A	FALSE
LV3003046950	3	IG-A	2	G-A	FALSE
LV3003046952	5	IG-C	1	IG-D	FALSE
LV3003046953	5	IG-C	1	IG-D	FALSE
LV3003046965	3	IG-A	2	G-A	FALSE
LV3003046966	3	IG-A	4	IG-A	FALSE
LV3003046978	3	IG-A	2	G-A	FALSE
LV3003046979	3	IG-A	1	IG-D	FALSE
LV3003046980	5	IG-C	1	IG-D	FALSE
LV3003046993	3	IG-A	1	IG-D	FALSE
LV3003046994	3	IG-A	4	IG-A	FALSE
LV3003046995	5	IG-C	1	IG-D	FALSE
LV3003047009	3	IG-A	4	IG-A	FALSE
LV3003047010	5	IG-C	1	IG-D	FALSE
LV3003047013	5	IG-C	1	IG-D	FALSE
LV3003047026	3	IG-A	2	G-A	FALSE
LV3003047027	5	IG-C	1	IG-D	FALSE
LV3003047028	2	IG-D	5	IG-C	FALSE
LV3003047041	3	IG-A	2	G-A	FALSE
LV3003047044	1	G-A	4	IG-A	FALSE
LV3003047045	5	IG-C	1	IG-D	FALSE
LV3003047059	2	IG-D	5	IG-C	FALSE
LV3003047060	2	IG-D	5	IG-C	FALSE
LV3003047061	2	IG-D	5	IG-C	FALSE
LV3003047062	2	IG-D	5	IG-C	FALSE
LV3003047063	2	IG-D	5	IG-C	FALSE
LV3003047064	2	IG-D	5	IG-C	FALSE
LV3003047065	2	IG-D	5	IG-C	FALSE
LV3003047067	1	G-A	4	IG-A	FALSE
LV3003047068	1	G-A	4	IG-A	FALSE
LV3003047069	1	G-A	4	IG-A	FALSE
LV3003047070	1	G-A	4	IG-A	FALSE
LV3003047071	1	G-A	4	IG-A	FALSE
LV3003047073	2	IG-D	5	IG-C	FALSE
LV3003047074	2	IG-D	5	IG-C	FALSE
LV3003047077	2	IG-D	5	IG-C	FALSE
LV3003047078	2	IG-D	5	IG-C	FALSE
LV3003047079	4	IG-B	3	IG-B	FALSE
LV3003047080	4	IG-B	3	IG-B	FALSE
LV3003047081	1	G-A	4	IG-A	FALSE
LV3003047082	1	G-A	4	IG-A	FALSE
LV3003047083	1	G-A	4	IG-A	FALSE
LV3003047084	4	IG-B	1	IG-D	FALSE
LV3003047085	1	G-A	4	IG-A	FALSE
LV3003047087	2	IG-D	5	IG-C	FALSE
LV3003047088	2	IG-D	5	IG-C	FALSE
LV3003047089	2	IG-D	3	IG-B	FALSE
LV3003047090	2	IG-D	5	IG-C	FALSE
LV3003047091	4	IG-B	3	IG-B	FALSE
LV3003047093	4	IG-B	3	IG-B	FALSE
LV3003047094	1	G-A	4	IG-A	FALSE
LV3003047095	1	G-A	4	IG-A	FALSE
LV3003047096	1	G-A	4	IG-A	FALSE
LV3003047097	1	G-A	4	IG-A	FALSE
LV3003047098	1	G-A	4	IG-A	FALSE
LV3003047099	1	G-A	4	IG-A	FALSE
LV3003047100	4	IG-B	3	IG-B	FALSE
LV3003047101	2	IG-D	3	IG-B	FALSE
LV3003047104	2	IG-D	5	IG-C	FALSE
LV3003047105	2	IG-D	5	IG-C	FALSE
LV3003047106	2	IG-D	3	IG-B	FALSE
LV3003047107	4	IG-B	3	IG-B	FALSE
LV3003047110	1	G-A	4	IG-A	FALSE
LV3003047112	1	G-A	4	IG-A	FALSE
LV3003047113	1	G-A	4	IG-A	FALSE
LV3003047114	1	G-A	4	IG-A	FALSE
LV3003047117	1	G-A	4	IG-A	FALSE
LV3003047118	3	IG-A	2	G-A	FALSE
LV3003047122	2	IG-D	5	IG-C	FALSE
LV3003047123	2	IG-D	5	IG-C	FALSE
LV3003047124	2	IG-D	5	IG-C	FALSE
LV3003047125	2	IG-D	3	IG-B	FALSE
LV3003047126	1	G-A	4	IG-A	FALSE
LV3003047127	2	IG-D	5	IG-C	FALSE
LV3003047128	1	G-A	4	IG-A	FALSE
LV3003047129	1	G-A	4	IG-A	FALSE
LV3003047130	1	G-A	4	IG-A	FALSE
LV3003047131	1	G-A	4	IG-A	FALSE
LV3003047132	3	IG-A	2	G-A	FALSE
LV3003047133	4	IG-B	3	IG-B	FALSE
LV3003047134	4	IG-B	1	IG-D	FALSE
LV3003047136	4	IG-B	1	IG-D	FALSE
LV3003047137	1	G-A	3	IG-B	FALSE
LV3003047138	4	IG-B	3	IG-B	FALSE
LV3003047139	1	G-A	4	IG-A	FALSE
LV3003047140	2	IG-D	5	IG-C	FALSE
